"title","year","alias","director","writer","genre","region","language","runtime","douban_rating","imdb_rating","cast","summary","referer","poster_url","still_url","poster_file","still_file"
"养蜂人 The Beekeeper","2024","蜂刑者(台) / 蜂神恶杀(港)","大卫·阿耶","科特·维莫","动作 / 惊悚","美国 / 英国","英语","105分钟","6.1分 (共89408人参与评分)","","杰森·斯坦森 / 乔什·哈切森 / 杰瑞米·艾恩斯 / 艾美·拉韦尔-兰普曼 / 鲍比·纳德利 / 大卫·威茨 / 米迦勒·埃普 / 泰勒·詹姆斯 / 菲利西亚·拉斯海德 / 吉玛·雷德格里夫 / 明妮·德里弗 / 唐·吉尔特 / 索菲亚·费里西亚诺 / 恩佐·科伦蒂 / 梅根·乐 / 李丹 / 乔治娅·古德曼 / 德里克·肖 / 杰·林康 / 科乔·阿塔","克莱（杰森·斯坦森 Jason Statham 饰）在乡下养蜂，平静度日。与其交好的房东奶奶帕克（菲利西亚·拉斯海德 Phylicia Rashad 饰），被一场网络诈骗卷走了所有慈善筹款，崩溃自杀。克莱获悉真相后，孤身勇闯诈骗集团复仇。追查中，克莱挖出诈骗团伙背后盘根错节的利益集团，面临疯子特工、权势财团、FBI的接连围剿，游离法律之外的暗卫组织“养蜂人”也牵扯其中，克莱的真实身份也浮出水面。克莱能否凭一己之力对抗滔天罪恶？新的“疯暴”正在袭来……","https://4khdr.cn/thread-30986-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/191641uqeqelbemzz3cyeb.jpeg","","data/attachment/forum/202503/15/191641uqeqelbemzz3cyeb.jpeg",""
"催眠 Hypnotic","2023","潛眠叛變(港)","罗伯特·罗德里格兹","罗伯特·罗德里格兹 / 麦克思·鲍伦斯坦","动作 / 悬疑 / 惊悚","美国","英语","92分钟","5.9分 (共8299人参与评分)","","本·阿弗莱克 / 艾莉丝·布拉加 / J·D·普拉多 / 戴奥·奥柯奈伊 / 杰夫·法赫 / 杰基·厄尔·哈利 / 威廉·菲克纳 / 赞恩·霍尔茨 / 鲁本·哈维尔·卡巴雷诺 / 凯莉·弗莱 / 桑迪·阿维拉 / 瑞恩·留萨基 / 哈拉·芬利 / 爱奥妮·奥利维亚·尼维斯 / 科瑞娜·卡尔德隆 / 劳伦斯·瓦尔纳多 / 德里克·罗素 / 达娜·温·刘 / 罗纳德·乔·瓦斯奎兹 / 海尔斯·杨","探员丹尼（本·阿弗莱克 饰）在调查一系列银行劫案的过程中，发现一名如幽灵般的危险男子，惊觉案件和此人竟与其失踪女儿有关！在灵媒戴安娜（艾莉丝·布拉加 饰）的协助下，他尝试追查并拆解箇中谜团，却反让二人被该男子追捕。急于寻回女儿的丹尼顷刻堕入难以自拔的境况，然而事情发展将彻底超出意料，颠覆他对身边一切的认知……","https://4khdr.cn/thread-30991-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/194142vjzey6y5iwv7f95a.jpeg","","data/attachment/forum/202503/15/194142vjzey6y5iwv7f95a.jpeg",""
"原钻 Uncut Gems","2019","原石 / 未成大器 / 未切割宝石 / 未切割的钻石 / 未切割的宝石 / 未琢之石(豆友译名)","本·萨弗迪 / 约书亚·萨弗迪","罗纳德·布隆斯坦 / 本·萨弗迪 / 约书亚·萨弗迪","剧情 / 犯罪","美国","英语 / 希伯来语","135分钟","7.3分 (共39678人参与评分)","","亚当·桑德勒 / 茱莉娅·福克斯 / 凯文·加内特 / 威肯 / 伊迪娜·门泽尔 / 乔纳森·阿兰巴耶夫 / 雅各布·伊吉尔斯基 / 诺亚·费舍尔 / 帕洛玛·艾尔瑟瑟 / 勒凯斯·斯坦菲尔德 / 埃里克·博高森 / 基思·威廉姆斯·理查兹 / 汤米·科米尼克 / 路易·安东尼·阿里亚斯 / 肖恩·林金 / 贾德·赫希 / 约翰·阿莫斯 / 布莱斯·科里根 / 罗比·德拉费勒 / 安赫·道格 / 迈克·弗朗西萨 / 庞·克莱门捷夫 / 娜塔莎·雷昂 / 乔恩·内卡杰 / 尼克·波托兰宁 / 杰克·莱恩 / 蒂尔达·斯文顿","影片讲述了一位纽约钻石店老板Howard Ratner（亚当·桑德勒 饰），他嗜赌成瘾，婚姻岌岌可危，还有一个对他不忠的女友（茱莉娅·福克斯 饰）。Howard Ratner欠Arno（埃里克·博高森 饰）钱，而打手们也一直威胁着让他还钱。当他买了一块价值数百万美元的稀有的未切割埃塞俄比亚蛋白原石，他觉得自己的霉运会就此终结。这块原石本来是打算拿去拍卖的，但当波士顿凯尔特人超级球星凯文·加内特走进宝石店，希望借走这块石头——它可以给他在NBA总决赛上带来好运——的时候，事态也就越发复杂了起来。","https://4khdr.cn/thread-30988-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/192430z70wuw5r7u5rl5pu.jpeg","","data/attachment/forum/202503/15/192430z70wuw5r7u5rl5pu.jpeg",""
"午夜谋杀 Murder by Decree","1980","午夜追杀 / 午夜追杀令 / 雾都谋杀案","鲍勃·克拉克","约翰·霍普斯金","剧情 / 悬疑 / 惊悚 / 恐怖 / 犯罪","英国 / 加拿大","英语","124 分钟 / Sweden: 110 分钟","6.1分 (共211人参与评分)","","克里斯托弗·普卢默 / 詹姆斯·梅森 / 戴维·海明斯 / 苏珊·克拉克 / 安东尼·奎尔 / 约翰·吉尔古德 / 弗兰克·芬莱 / 唐纳德·萨瑟兰 / 詹妮薇芙·布卓","Sherlock Holmes investigates the murders commited by Jack the Ripper and discovers a conspiracy to protect the killer.","https://4khdr.cn/thread-30987-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/192059jvb7pnuvvvgvkyhc.jpeg","","data/attachment/forum/202503/15/192059jvb7pnuvvvgvkyhc.jpeg",""
"周末狂欢 Human Traffic","1999","情爱四人帮","Justin Kerrigan","Justin Kerrigan","剧情 / 喜剧 / 音乐","爱尔兰 / 英国","英语","99 分钟","7.4分 (共299人参与评分)","","约翰·西姆 / 丹尼·戴尔 / 肖恩·帕克斯 / Lorraine Pilkington / Nicola Reynolds","The Cardiff club scene in the 90's: five best friends deal with their relationships and their personal demons during a weekend. Jip calls himself a sexual paranoid, afraid he's impotent. Lulu, Jip's mate, doesn't find much to fancy in men. Nina hates her job at a fast food joint, and her man, Koop, who dreams of being a great hip-hop d.j., is prone to fits of un-provoked jealousy. The fifth is Moff, whose family is down on his behavior. Starting Friday afternoon, with preparations for clubbing, we follow the five from Ecstacy-induced fun through a booze-laden come-down early Saturday morning followed by the weekend's aftermath. It's breakthrough time for at least three of them.","https://4khdr.cn/thread-30989-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/193016ljq79897cv7qc8z6.jpeg","","data/attachment/forum/202503/15/193016ljq79897cv7qc8z6.jpeg",""
"下班后 After Hours","1985","八小时之外 / 业余时间 / 三更半夜(港)","马丁·斯科塞斯","约瑟夫·米恩","剧情 / 喜剧 / 惊悚","美国","英语","97 分钟","8.1分 (共15858人参与评分)","","格里芬·邓恩 / 罗姗娜·阿奎特 / 弗娜·布鲁姆 / 汤米·钟 / 琳达·费奥伦蒂诺 / 特瑞·加尔 / 约翰·赫德 / 切奇·马林 / 凯瑟琳·欧哈拉 / 迪克·米勒 / 威尔·帕顿 / Robert Plunket / 布隆森·皮诺切特 / 罗科·西斯托 / 拉里·布洛克 / 维克多·阿尔果 / Clarke Evans / Bill Elverman / 克拉伦斯·菲尔德 / Robin Johnson / 斯蒂芬·林 / 罗基茨·雷德格拉尔 / 凯瑟琳·斯科塞斯 / 查尔斯·斯科塞斯 / 马丁·斯科塞斯","电脑文书保罗（Griffin Dunne 饰）下班后去餐厅宵夜，他手上的《北回归线》让邻座的神秘女子玛西（Rosanna Arquette 饰）上前搭讪，玛西留下电话号码，并向他介绍与自己合租的女雕塑家琦琦。保罗为追求一段艳遇，在午夜时分拨通了玛西的电话，玛西家中因纸糊雕塑显得凌乱不堪，她本人则急于喋喋不休的倾诉，让保罗无法得逞，保罗不能忍受那个没有露脸的男人“富兰克林”与玛西的神经质表现，在急欲返家之时，却又卷入了连串麻烦，与酒吧老板、酒吧女招待、朋克青年们、两名窃贼、开冰激凌车的女青年等等纠缠不清，似乎在这个夜里，所有人都在妨碍保罗回家。","https://4khdr.cn/thread-30990-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/193815p9dqasx7cyd9o5ys.jpeg","","data/attachment/forum/202503/15/193815p9dqasx7cyd9o5ys.jpeg",""
"伸冤人 The Equalizer","2014","叛谍裁判(港) / 私刑教育(台)","安东尼·福奎阿","理查德·温克 / 迈克尔·斯隆 / 理查德·林德海姆","动作 / 惊悚 / 犯罪","美国","英语 / 俄语 / 西班牙语","132分钟","7.8分 (共130336人参与评分)","","丹泽尔·华盛顿 / 马尔顿·索克斯 / 科洛·葛蕾丝·莫瑞兹 / 大卫·哈伯 / 海莉·贝内特 / 比尔·普尔曼 / 梅丽莎·里奥 / 大卫·梅尼尔 / E·罗杰·米切尔 / 亚历克斯·维多夫 / 弗拉基米尔库利奇 / 迈克·奥迪亚","麦考尔（丹泽尔·华盛顿 Denzel Washington 饰）是一名已经退役的黑色行动突击队队员，常年浸淫在充满了暴力和危险的生活中，麦考尔的内心早已经疲惫不堪，为了脱离组织，他大费周章伪造了自己已经死亡的假象，来到了波士顿，改头换面，隐姓埋名，企图能够过上平静安宁的新生活。","https://4khdr.cn/thread-30993-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/194648dtraulpahoa0fauu.jpeg","","data/attachment/forum/202503/15/194648dtraulpahoa0fauu.jpeg",""
"德州电锯杀人狂前传 The Texas Chainsaw Massacre: The Beginning","2006","德州电锯杀人狂：从头开始 / 德州链锯杀人狂前传 / 德州电锯杀人狂——成魔之路 / 德州链锯杀人狂：开始","乔纳森·里贝斯曼","谢尔顿·特纳","惊悚 / 恐怖","美国","英语","91 分钟 / 96 分钟(未分级版) / 83 分钟(德国删减版)","6.8分 (共21674人参与评分)","","乔丹娜·布鲁斯特 / 安德鲁·布莱尼亚斯基 / 迪奥拉·拜尔德 / 泰勒·汉德雷 / 李·厄米 / 马特·波莫","在德州某屠宰场，肥胖的女工正在案板切肉，突然感到腹中剧痛，原来身怀有孕的她羊水已破，产下一个畸形儿，遗弃在垃圾箱，后来被清洁工救起。N年后，一群年轻人驾车路过这里。刚从越南前线归来的艾瑞克（马修•波莫 Matthew Bomer 饰）刚与未婚妻克莉希（乔丹娜•布鲁斯特 Jordana Brewster 饰）团聚，就得知弟弟迪恩（泰勒•汉德雷 Taylor Handley 饰）又要去前线，他本想陪弟弟共赴沙场。但迪安在女友贝莉（迪奥拉•拜尔德 Diora Baird 饰）的劝说下准备将入伍证烧掉，他们为此产生了争执。这时，他们遭到了飙车党挑衅。后来，为首的女孩竟然被警察击毙。警察霍伊特（R•李•艾尔米 R. Lee Ermey 饰）拦住了他们的车子，把他们带到了令人毛骨悚然的屠宰场，开始了惨无人道的折磨……","https://4khdr.cn/thread-30994-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/195124o54u98ggu1gudm14.jpeg","","data/attachment/forum/202503/15/195124o54u98ggu1gudm14.jpeg",""
"电子世界争霸战 TRON","1982","创 / Tron","史蒂文·利斯伯吉尔","史蒂文·利斯伯吉尔 / 邦尼·麦克伯德 / 查尔斯·S·哈斯","动作 / 科幻 / 冒险","美国","英语","96分钟","7.4分 (共8301人参与评分)","","杰夫·布里吉斯 / 布鲁斯·巴克林纳 / 大卫·沃纳 / 辛迪·摩根 / 巴纳德·休斯 / 丹·肖尔 / 彼得·朱拉斯克","凯文·弗林（杰夫·布里吉斯 Jeff Bridges 饰）是个天才程序员，然而曾经开发的一款游戏软件被前同事盗取，为了证实那是自己的作品，凯文试图进入前同事公司的主控程序MCP，却发现其已经强大到随意控制其他程序。凯文求助于同事艾伦（布鲁斯·巴克林纳 Bruce Boxleitner 饰），后者设计了一款钳制MCP的程序Tron，不想MCP察觉了凯文的动作，将他吸进程序空间，变成一个掌控之下的小程序。在MCP空间内，凯文需要保住性命，更要找到破解方法回到现实……","https://4khdr.cn/thread-30996-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/195826djszew1k2k7o1doj.jpeg","","data/attachment/forum/202503/15/195826djszew1k2k7o1doj.jpeg",""
"球爱的天空 Tin Cup","1996","锡杯 / 千万风情","罗恩·谢尔顿","John Norville / 罗恩·谢尔顿","剧情 / 喜剧 / 爱情 / 运动","美国","英语","135 分钟","7.3分 (共843人参与评分)","","凯文·科斯特纳 / 蕾妮·罗素 / 唐·约翰逊 / 切奇·马林","锡杯是每一个专业高尔夫运动员都渴望得到的最高荣耀，同时亦是罗伊（凯文·科斯特纳 Kevin Costner 饰）的代号，这证明了罗伊曾在界内有着怎样崇高的地位。然而一切都已经是过眼云烟了，在罗伊输掉了一场非常重要的比赛后，心灰意冷的他放弃了拼搏的斗志，返回了德克萨斯州，在那里开了一家高尔夫练习场。","https://4khdr.cn/thread-30995-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/195503x1wdgq0pp2t1ql91.jpeg","","data/attachment/forum/202503/15/195503x1wdgq0pp2t1ql91.jpeg",""
"白雪公主之魔镜魔镜 Mirror Mirror","2012","魔镜 ﹡魔镜：白雪公主决战黑心皇后(港) / 白雪公主 / 魔镜,魔镜","塔西姆·辛","雅各布·格林 / 威廉·格林 / 梅丽莎·沃雷克 / 贾森·凯勒","剧情 / 喜剧 / 奇幻 / 冒险","美国","英语","106分钟","6.3分 (共71953人参与评分)","","朱莉娅·罗伯茨 / 莉莉·柯林斯 / 艾米·汉莫 / 内森·连恩 / 肖恩·宾 / 梅尔·温宁汉姆 / 迈克尔·勒纳","影片讲述了由朱莉娅·罗伯茨主演的邪恶的皇后窃取了国家的政权，而被流放的公主在七个足智多谋的小矮人的帮助下，重新赢回了属于她的权力。","https://4khdr.cn/thread-30998-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/200909zcg6ce2gz6xv3pb3.jpeg","","data/attachment/forum/202503/15/200909zcg6ce2gz6xv3pb3.jpeg",""
"","","","","","","","","","","","","","https://4khdr.cn/thread-30997-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/200305cz9xoxk8vx6imee7.jpeg","","data/attachment/forum/202503/15/200305cz9xoxk8vx6imee7.jpeg",""
"伸冤人3 The Equalizer 3","2023","私刑教育3(台) / 叛谍裁判3：终极一战(港)","安东尼·福奎阿","理查德·温克 / 迈克尔·斯隆 / 理查德·林德海姆","动作 / 惊悚 / 犯罪","美国","英语 / 意大利语","109分钟","7.2分 (共50663人参与评分)","","丹泽尔·华盛顿 / 达科塔·范宁 / 欧吉尼奥·马斯特兰德雷亚 / 大卫·丹曼 / 盖亚·斯考达里奥 / 雷莫·吉罗内 / 安德烈·斯卡杜齐奥 / 安德烈埃·多德罗 / 丹尼尔·佩罗内 / 扎卡里亚·哈姆扎 / 索尼娅·阿马尔 / 尼可洛·森尼 / 布鲁诺·比洛塔 / 萨尔瓦多·罗科","退休特工兼私人侦探罗伯特·麦考尔（丹泽尔·华盛顿 饰）大杀四方为复仇之路写下最后一章。他放弃了为政府担任杀手的生活，并一直在努力调解过去所做的可怕之事，在代表被压迫者伸张正义时，他的内心找到了一种奇怪的慰藉。在意大利南部，罗伯特发现他的新朋友被犯罪头目控制了，随着事件变得致命起来，罗伯特知道自己必须与黑手党交手，以保护朋友安全。","https://4khdr.cn/thread-31000-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/202428wbndvnstytnysbr7.jpeg","","data/attachment/forum/202503/15/202428wbndvnstytnysbr7.jpeg",""
"伸冤人2 The Equalizer 2","2018","制裁特攻 / 私刑教育2(台) / 叛谍裁判2(港)","安东尼·福奎阿","理查德·温克 / 迈克尔·斯隆 / 理查德·林德海姆","动作 / 惊悚 / 犯罪","美国","英语 / 法语 / 土耳其语 / 希伯来语","121分钟","7.3分 (共70303人参与评分)","","丹泽尔·华盛顿 / 佩德罗·帕斯卡 / 艾什顿·桑德斯 / 奥森·比恩 / 比尔·普尔曼 / 梅丽莎·里奥 / 乔纳森·斯卡弗 / 沙基纳·贾弗里 / 卡罗琳·戴 / 特德·阿尔奇迪 / 杰伊·赫农 / 马克西米利安·麦克纳马拉 / 安德烈·阿罗维斯基","麦考尔（丹泽尔·华盛顿 Denzel Washington 饰）一直以来都过着隐姓埋名离群索居的生活，所有人都以为他已经死了，只有苏珊（梅丽莎·里奥 Melissa Leo 饰）还和他保持着联系。一天，苏珊接到任务，要前往布鲁塞尔调查一位CIA特工自杀的案件，之后就失去了联系，麦考尔凭借这本能察觉到，苏珊已经死了。","https://4khdr.cn/thread-30999-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/201335kreir6bdqijfjb6b.jpeg","","data/attachment/forum/202503/15/201335kreir6bdqijfjb6b.jpeg",""
"本能 Basic Instinct","1992","第六感追缉令(台) / 氷の微笑","保罗·范霍文","乔·埃泽特哈斯","剧情 / 悬疑 / 惊悚","美国 / 法国","英语","128分钟","7.9分 (共170393人参与评分)","","迈克尔·道格拉斯 / 莎朗·斯通 / 乔治·杜兹达扎 / 珍妮·特里普里霍恩 / 丹尼斯·阿尔恩特","退休摇滚明星强尼·博兹（Bill Cable 饰）在性行为的过程中被人用白丝巾捆绑双手后用冰锥残忍刺死。其女友凯瑟琳·特拉梅尔（Sharon Stone 饰）是一名作家，去年出版的小说中就有双手被白丝巾捆绑的退休摇滚明星被女友用冰锥刺死的情节。虽然特拉梅尔通过了谎言测试，但曾枪杀两位游客却被判无罪的尼克·柯兰警探（Michael Douglas 饰）坚持认为特拉梅尔在说谎。因为他自己也曾接受过谎言测试，并且通过了……","https://4khdr.cn/thread-31120-1-1.html","https://4khdr.cn/data/attachment/forum/202503/17/154315vzg2h2sgrhgg1h2g.jpeg","","data/attachment/forum/202503/17/154315vzg2h2sgrhgg1h2g.jpeg",""
"帕丁顿熊3：秘鲁大冒险 Paddington in Peru","2024","帕丁顿熊3 / 柏灵顿：秘鲁大冒险(港) / 柏灵顿：熊熊去秘鲁(台) / 柏灵顿：熊来疯秘鲁 / 帕丁顿熊在秘鲁 / Paddington 3","道格尔·威尔森","马克·伯顿 / 西蒙·法纳比 / 乔·福斯特 / 保罗·金 / 詹姆斯·拉蒙特 / 迈克尔·邦德","喜剧 / 动画 / 悬疑 / 奇幻 / 冒险","英国 / 法国 / 美国","英语","107分钟","6.7分 (共18658人参与评分)","","本·卫肖 / 奥利维娅·科尔曼 / 休·博纳维尔 / 艾米莉·莫迪默 / 艾美达·斯丹顿 / 安东尼奥·班德拉斯 / 卡拉·桃丝 / 马德琳·哈里斯 / 萨缪尔·乔斯林 / 吉姆·布劳德本特 / 海莉·阿特维尔 / 休·格兰特 / 朱丽·沃特斯 / 乔尔·弗莱 / 奥利弗·莫尔特曼 / 罗比·基 / 桑吉夫·巴哈斯卡 / 本·米勒 / 杰西卡·海因斯 / 卡拉·琼斯 / 尼古拉斯·本恩斯 / 阿什莉·雷诺兹 / 阿米特·沙阿 / Ella Dacres / Aloreia Spencer","帕丁顿（本·卫肖 Ben Whishaw 配音）回到家乡秘鲁看望他心爱的露西婶婶（艾美达·斯丹顿 Imelda Staunton 配音）。露西婶婶现住在退休熊之家。然而一个谜团将帕丁顿和布朗一家带入意想不到的惊险旅程。从亚马逊雨林到秘鲁山巅，一场激动人心的冒险随之而来。","https://4khdr.cn/thread-31076-1-1.html","https://4khdr.cn/data/attachment/forum/202503/16/205942m144l7nwt61ut6z1.jpeg","","data/attachment/forum/202503/16/205942m144l7nwt61ut6z1.jpeg",""
